Cebola,"R$2,90",  x KG,"Antes R$3,22"
Limão Taiti,"R$2,69",  x KG,"Antes R$2,99"
Laranja Pera,"R$1,51",  x KG,"Antes R$1,68"
Alface Crespa,"R$1,48",  x UNID,"Antes R$1,65"
Alho Descascado Pacote 1 kg,"R$12,53",  x UNID,"Antes R$13,92"
Ovos Brancos Grande,"R$22,86",  x UNID,"Antes R$25,40"
Banana Nanica,"R$2,86",  x KG,"Antes R$3,18"
Maracujá,"R$3,99",  x KG
Pimentão Verde,"R$3,14",  x KG,"Antes R$3,49"
Cenoura,"R$3,00",  x KG,"Antes R$3,33"
Batata Lavada Padrão,"R$2,05",  x KG,"Antes R$2,28"
Alface Americana,"R$2,19",  x UNID,"Antes R$2,43"
Melancia Grauda,"R$13,50",  x UNID,"Antes R$15,00"
Couve Manteiga,"R$1,84",  x UNID,"Antes R$2,05"
Abacaxi Pérola,"R$4,90",  x UNID,"Antes R$5,45"
